,game_time,game_date,arena,home_team,home_wins,home_losses,away_team,away_wins,away_losses,attendance
1237,0 days 19:30:00,2018-10-17,Madison Square Garden (IV),New York Knicks,1,0,Atlanta Hawks,0,1,18249
1238,0 days 19:00:00,2018-10-17,Amway Center,Orlando Magic,1,0,Miami Heat,0,1,19191
1239,0 days 22:30:00,2018-10-17,Talking Stick Resort Arena,Phoenix Suns,1,0,Dallas Mavericks,0,1,18055
1240,0 days 22:00:00,2018-10-17,Golden 1 Center,Sacramento Kings,0,1,Utah Jazz,1,0,17583
1241,0 days 20:30:00,2018-10-17,AT&T Center,San Antonio Spurs,1,0,Minnesota Timberwolves,0,1,18354
1242,0 days 19:30:00,2018-10-17,Scotiabank Arena,Toronto Raptors,1,0,Cleveland Cavaliers,0,1,19915
1243,0 days 20:00:00,2018-10-18,Wells Fargo Center,Philadelphia 76ers,1,1,Chicago Bulls,0,1,20302
1244,0 days 22:30:00,2018-10-18,Moda Center,Portland Trail Blazers,1,0,Los Angeles Lakers,0,1,19996
1245,0 days 20:00:00,2018-10-18,Capital One Arena,Washington Wizards,0,1,Miami Heat,1,1,20409
1246,0 days 19:30:00,2018-10-19,Barclays Center,Brooklyn Nets,1,1,New York Knicks,1,1,17732
1247,0 days 22:30:00,2018-10-19,STAPLES Center,Los Angeles Clippers,1,1,Oklahoma City Thunder,0,2,14816
1248,0 days 20:00:00,2018-10-19,FedEx Forum,Memphis Grizzlies,1,1,Atlanta Hawks,0,2,17019
1249,0 days 20:30:00,2018-10-19,Fiserv Forum,Milwaukee Bucks,2,0,Indiana Pacers,1,1,17341
1250,0 days 20:00:00,2018-10-19,Target Center,Minnesota Timberwolves,1,1,Cleveland Cavaliers,0,2,18978
1251,0 days 20:00:00,2018-10-19,Smoothie King Center,New Orleans Pelicans,2,0,Sacramento Kings,0,2,18337
1252,0 days 19:00:00,2018-10-19,Amway Center,Orlando Magic,1,1,Charlotte Hornets,1,1,17668
1253,0 days 20:00:00,2018-10-19,Scotiabank Arena,Toronto Raptors,2,0,Boston Celtics,1,1,19800
1254,0 days 22:30:00,2018-10-19,Vivint Smart Home Arena,Utah Jazz,1,1,Golden State Warriors,2,0,18306
1255,0 days 20:00:00,2018-10-20,United Center,Chicago Bulls,0,2,Detroit Pistons,2,0,21289
1256,0 days 20:30:00,2018-10-20,American Airlines Center,Dallas Mavericks,1,1,Minnesota Timberwolves,1,2,20205
1257,0 days 21:00:00,2018-10-20,Pepsi Center,Denver Nuggets,2,0,Phoenix Suns,1,1,19592
1258,0 days 19:00:00,2018-10-20,Bankers Life Fieldhouse,Indiana Pacers,2,1,Brooklyn Nets,1,2,17007
1259,0 days 22:30:00,2018-10-20,STAPLES Center,Los Angeles Lakers,0,2,Houston Rockets,1,1,18997
1260,0 days 20:00:00,2018-10-20,AmericanAirlines Arena,Miami Heat,1,2,Charlotte Hornets,2,1,19600
1261,0 days 19:30:00,2018-10-20,Madison Square Garden (IV),New York Knicks,1,2,Boston Celtics,2,1,19427
1262,0 days 19:30:00,2018-10-20,Wells Fargo Center,Philadelphia 76ers,2,1,Orlando Magic,1,2,20300
1263,0 days 22:00:00,2018-10-20,Moda Center,Portland Trail Blazers,2,0,San Antonio Spurs,1,1,19461
1264,0 days 19:00:00,2018-10-20,Capital One Arena,Washington Wizards,0,2,Toronto Raptors,3,0,16185
1265,0 days 18:00:00,2018-10-21,Quicken Loans Arena,Cleveland Cavaliers,0,3,Atlanta Hawks,1,2,19432
1266,0 days 20:00:00,2018-10-21,Pepsi Center,Denver Nuggets,3,0,Golden State Warriors,2,1,19520
1267,0 days 21:00:00,2018-10-21,STAPLES Center,Los Angeles Clippers,2,1,Houston Rockets,1,2,16149
1268,0 days 19:00:00,2018-10-21,Chesapeake Energy Arena,Oklahoma City Thunder,0,3,Sacramento Kings,1,2,18203
1269,0 days 19:30:00,2018-10-22,TD Garden,Boston Celtics,2,2,Orlando Magic,2,2,18624
1270,0 days 20:30:00,2018-10-22,American Airlines Center,Dallas Mavericks,2,1,Chicago Bulls,0,3,19291
1271,0 days 22:30:00,2018-10-22,Oracle Arena,Golden State Warriors,3,1,Phoenix Suns,1,2,19596
1272,0 days 22:30:00,2018-10-22,STAPLES Center,Los Angeles Lakers,0,3,San Antonio Spurs,2,1,18997
1273,0 days 20:00:00,2018-10-22,Fiserv Forum,Milwaukee Bucks,3,0,New York Knicks,1,3,16228
1274,0 days 20:00:00,2018-10-22,Target Center,Minnesota Timberwolves,2,2,Indiana Pacers,2,2,10371
1275,0 days 22:00:00,2018-10-22,Moda Center,Portland Trail Blazers,2,1,Washington Wizards,1,2,19187
1276,0 days 19:30:00,2018-10-22,Scotiabank Arena,Toronto Raptors,4,0,Charlotte Hornets,2,2,19800
1277,0 days 21:00:00,2018-10-22,Vivint Smart Home Arena,Utah Jazz,1,2,Memphis Grizzlies,2,1,18306
1278,0 days 21:00:00,2018-10-23,Pepsi Center,Denver Nuggets,4,0,Sacramento Kings,1,3,13214
1279,0 days 19:00:00,2018-10-23,Little Caesars Arena,Detroit Pistons,3,0,Philadelphia 76ers,2,2,14418
1280,0 days 20:00:00,2018-10-23,Smoothie King Center,New Orleans Pelicans,3,0,Los Angeles Clippers,2,2,14625
1281,0 days 19:00:00,2018-10-24,State Farm Arena,Atlanta Hawks,2,2,Dallas Mavericks,2,2,16705
1282,0 days 20:00:00,2018-10-24,United Center,Chicago Bulls,1,3,Charlotte Hornets,2,3,19170
1283,0 days 19:00:00,2018-10-24,Quicken Loans Arena,Cleveland Cavaliers,0,4,Brooklyn Nets,2,2,19432
1284,0 days 22:30:00,2018-10-24,Oracle Arena,Golden State Warriors,4,1,Washington Wizards,1,3,19596
1285,0 days 20:00:00,2018-10-24,Toyota Center,Houston Rockets,1,3,Utah Jazz,2,2,18055
1286,0 days 19:30:00,2018-10-24,AmericanAirlines Arena,Miami Heat,2,2,New York Knicks,1,4,19600
1287,0 days 21:30:00,2018-10-24,Fiserv Forum,Milwaukee Bucks,4,0,Philadelphia 76ers,2,3,17341
1288,0 days 22:00:00,2018-10-24,Talking Stick Resort Arena,Phoenix Suns,1,3,Los Angeles Lakers,1,3,18055
1289,0 days 22:00:00,2018-10-24,Golden 1 Center,Sacramento Kings,2,3,Memphis Grizzlies,2,2,14198
